Mês,Faturamento Real,Previsão
2024-01-01,"R$ 2,620.68",NaN
2024-02-01,"R$ 80,693.12",NaN
2024-03-01,"R$ 70,286.31",NaN
2024-04-01,"R$ 158,058.36",NaN
2024-05-01,"R$ 296,191.82",NaN
2024-06-01,"R$ 308,076.50",NaN
2024-07-01,"R$ 361,212.83",NaN
2024-08-01,"R$ 307,798.52",NaN
2024-09-01,"R$ 311,393.62",NaN
2024-10-01,"R$ 465,196.55",NaN
2024-11-01,"R$ 593,113.50",NaN
2024-12-01,"R$ 509,939.17",NaN
2025-01-01,"R$ 333,842.88",NaN
2025-02-01,"R$ 284,440.39",NaN
2025-03-01,"R$ 353,777.76",NaN
2025-04-01,"R$ 315,848.17",NaN
2025-05-01,"R$ 378,383.84",NaN
2025-06-01,"R$ 380,824.36",NaN
2025-07-01,"R$ 519,756.48",NaN
2025-08-01,"R$ 242,432.53","R$ 548,034.32"
2025-09-01,NaN,"R$ 576,312.15"
2025-10-01,NaN,"R$ 604,589.99"
2025-11-01,NaN,"R$ 632,867.83"
2025-12-01,NaN,"R$ 661,145.67"
2026-01-01,NaN,"R$ 689,423.51"