M̻s;Total;crescimento_pct;delta;mes;trimestre;lag_1;lag_2;media_3m;media_6m
01/01/2024;2620.68;;;1;1;;;;
01/02/2024;80693.12;29.790.909.229.665.500;78072.44;2;1;2620.68;;;
01/03/2024;70286.31;-12.896.774.842.762.300;-10.406.809.999.999.900;3;1;80693.12;2620.68;5.120.003.666.666.660;
01/04/2024;158058.36;12.487.787.451.069.700;8.777.204.999.999.990;4;2;70286.31;80693.12;10.301.259.666.666.600;
01/05/2024;296191.82;873.939.600.537.422;13.813.346.000.000.000;5;2;158058.36;70286.31;17.484.549.666.666.600;
01/06/2024;308076.5;401.249.433.559.642;11.884.679.999.999.900;6;2;296191.82;158058.36;2.541.088.933.333.330;152.654.465
01/07/2024;361212.83;1.724.777.125.162.090;53.136.330.000.000.000;7;3;308076.5;296191.82;321827.05;21.241.982.333.333.300
01/08/2024;307798.52;-14.787.489.691.326.800;-53414.31;8;3;361212.83;308076.5;325695.95;25.027.072.333.333.300
01/09/2024;311393.62;11.680.043.165.899.300;35.950.999.999.999.700;9;3;307798.52;361212.83;3.268.016.566.666.660;290.455.275
01/10/2024;465196.55;4.939.180.513.717.650;153802.93;10;4;311393.62;307798.52;36.146.289.666.666.600;3.416.449.733.333.330
01/11/2024;593113.5;2.749.739.868.019.220;127916.95;11;4;465196.55;311393.62;456567.89;391131.92
01/12/2024;509939.17;-14.023.341.232.327.300;-8.317.433.000.000.000;12;4;593113.5;465196.55;52.274.973.999.999.900;4.247.756.983.333.330
01/01/2025;333842.88;-34.532.803.196.898.900;-17.609.628.999.999.900;1;1;509939.17;593113.5;47.896.518.333.333.300;420214.04
01/02/2025;284440.39;-1.479.812.599.268.250;-4.940.248.999.999.990;2;1;333842.88;509939.17;37.607.414.666.666.600;4.163.210.183.333.330
01/03/2025;353777.76;2.437.676.660.477.080;69337.37;3;1;284440.39;333842.88;3.240.203.433.333.330;4.233.850.416.666.660
01/04/2025;315848.17;-1.072.130.424.478.910;-37.929.590.000.000.000;4;2;353777.76;284440.39;31.802.210.666.666.600;398.493.645
01/05/2025;378383.84;1.979.928.204.111.480;6.253.567.000.000.000;5;2;315848.17;353777.76;349336.59;36.270.536.833.333.300
01/06/2025;380824.36;0.644985261527;24.405.199.999.999.600;6;2;378383.84;315848.17;3.583.521.233.333.330;34.118.623.333.333.300
01/07/2025;519756.48;36.481.941.438.830.200;138932.12;7;3;380824.36;378383.84;426321.56;3.721.718.333.333.330
